,soil_moisture,humidity,temperature,labels
531,64,64,24.2,1
532,65,64,24.1,1
533,64,65,23.9,1
534,64,65,23.9,1
535,65,66,23.9,1
536,64,67,23.8,1
537,64,68,23.7,1
538,64,68,23.8,1
539,64,68,23.7,1
540,64,69,23.7,1
541,64,69,23.8,1
542,64,69,23.5,1
543,64,68,23.6,1
544,64,69,23.7,1
545,64,70,23.5,1
546,64,69,23.6,1
547,64,71,23.4,1
548,64,71,23.3,1
549,64,72,23.2,1
550,64,72,23.3,1
551,64,72,23.2,1
552,64,72,23.2,1
553,64,71,23.3,1
554,64,70,23.2,1
555,64,68,23.3,1
556,64,70,23.2,1
557,64,70,23.3,1
558,64,71,23.3,1
559,64,69,23.2,1
560,64,70,23.4,1
561,64,64,23.6,1
562,64,64,23.5,1
563,64,63,23.5,1
564,64,62,23.6,1
565,64,61,23.6,1
566,64,61,23.5,1
567,64,61,23.5,1
568,64,61,23.5,1
569,64,60,23.5,1
570,64,61,23.4,1
571,64,59,23.3,0
572,64,59,23.3,0
573,64,60,23.1,1
574,64,62,22.8,1
575,64,60,22.8,1
576,64,59,22.8,0
577,64,56,23.0,0
578,64,55,23.1,0
579,64,54,22.9,0
580,64,56,22.6,0
581,64,54,22.7,0
582,64,54,22.8,0
583,64,55,22.6,0
584,64,54,22.6,0
585,64,54,22.4,0
586,64,54,22.3,0
587,64,51,22.5,0
588,63,50,22.7,0
589,63,50,23.0,0
590,64,49,22.9,0
591,63,50,22.6,0
592,63,48,22.8,0
593,64,50,22.3,0
594,63,49,22.3,0
595,64,48,22.5,0
596,63,49,22.2,0
597,63,50,21.9,0
598,63,50,21.7,0
599,64,50,21.7,0
600,63,51,21.6,0
601,64,51,21.3,0
602,64,48,21.6,0
603,64,50,21.3,0
604,64,50,21.4,0
605,64,51,21.2,0
606,64,52,20.9,0
607,64,52,20.9,0
608,64,50,21.1,0
609,64,52,20.8,0
610,64,50,21.2,0
611,64,50,21.2,0
612,63,50,21.1,0
613,64,51,20.8,0
614,64,52,21.0,0
615,64,52,21.0,0
616,64,52,21.0,0
617,64,52,21.2,0
