index,moisture_1,humidity_1,temperature_1
1059,67,50,31.5
1060,68,48,32.6
1061,68,48,32.7
1062,68,48,32.6
1063,68,50,31.8
1064,68,48,32.0
1065,67,52,30.6
1066,67,51,31.7
1067,67,52,30.3
1068,67,51,31.2
1069,66,51,31.7
1070,67,53,31.4
1071,66,53,31.5
1072,67,54,31.2
1073,67,59,29.3
1074,67,60,28.9
1075,67,60,28.5
1076,66,60,29.1
1077,67,58,29.4
1078,67,59,28.7
1079,67,60,28.5
1080,67,62,27.9
1081,68,62,27.5
1082,68,62,27.7
1083,68,62,27.7
1084,68,64,27.4
1085,68,66,26.8
1086,68,68,26.3
1087,68,71,26.1
1088,68,71,25.8
1089,68,72,25.7
1090,68,72,25.7
1091,67,72,25.8
1092,67,74,25.5
1093,67,75,25.3
1094,67,74,25.4
1095,67,74,25.2
1096,68,76,25.0
1097,67,76,25.0
1098,68,77,24.9
1099,68,76,24.8
1100,67,77,24.7
1101,67,78,24.6
1102,67,79,24.5
1103,67,81,24.3
1104,67,82,24.3
1105,67,82,24.2
1106,67,83,24.1
1107,67,84,24.0
1108,67,84,23.9
1109,67,85,24.0
1110,66,85,23.9
1111,66,86,23.8
1112,67,86,23.7
1113,67,87,23.7
1114,67,86,23.7
1115,66,87,23.7
1116,67,87,23.6
1117,67,87,23.5
1118,67,86,23.6
1119,66,86,23.5
1120,66,87,23.4
1121,67,87,23.5
1122,66,87,23.4
1123,66,88,23.1
1124,66,88,23.0
1125,66,88,23.1
1126,66,85,23.5
1127,66,85,23.2
1128,66,84,23.3
1129,66,86,23.2
1130,66,86,23.2
1131,66,87,22.8
1132,66,87,22.9
1133,66,88,23.0
1134,66,86,22.9
1135,65,90,22.5
1136,66,90,22.4
1137,66,50,22.3
1138,65,50,22.2
1139,66,54,22.5
1140,66,60,22.3
1141,66,59,22.2
1142,66,89,22.2
1143,66,87,22.7
1144,65,87,22.4
1145,66,87,22.4
1146,65,85,22.4
1147,65,85,22.5
1148,66,84,22.4
1149,65,85,22.4
1150,65,86,22.6
1151,66,87,22.3
1152,66,88,22.4
1153,65,87,22.4
1154,65,87,22.5
1155,65,85,22.6
1156,66,86,22.7
1157,65,86,22.5
1158,65,89,22.2
1159,65,89,21.9
1160,66,89,21.7
1161,65,89,21.7
1162,65,88,21.8
1163,65,89,21.6
1164,65,88,21.5
1165,65,88,21.6
1166,65,85,21.9
1167,65,84,22.0
1168,66,83,22.0
1169,65,83,21.9
1170,65,84,21.4
1171,66,81,21.8
1172,66,78,22.0
1173,65,77,22.2
1174,65,79,21.9
1175,65,82,21.5
1176,66,84,21.5
1177,65,85,21.3
1178,65,86,21.3
1179,66,88,21.3
1180,65,46,21.1
1181,65,57,20.8
1182,65,54,21.1
1183,65,57,20.8
1184,65,50,21.1
1185,65,54,21.1
1186,65,57,21.2
1187,65,46,21.3
1188,66,61,20.7
1189,65,56,21.2
1190,64,48,21.1
1191,65,53,21.2
1192,64,54,21.1
1193,65,64,20.9
1194,64,62,20.7
1195,65,57,20.6
1196,65,64,20.9
1197,64,53,20.9
1198,65,56,20.7
1199,64,57,21.0
1200,64,65,21.3
1201,65,59,21.1
1202,65,69,20.8
1203,65,58,20.9
1204,65,68,20.9
1205,65,66,21.1
1206,65,62,20.9
1207,64,57,21.1
1208,65,57,21.0
1209,65,68,21.1
1210,65,64,21.1
1211,64,66,20.8
1212,64,69,20.8
1213,64,60,20.6
1214,63,67,20.5
1215,63,59,20.6
1216,62,57,20.6
1217,62,57,20.6
1218,61,58,20.4
1219,62,57,20.5
1220,60,58,20.6
1221,62,59,20.7
1222,61,61,20.5
1223,63,67,20.5
1224,60,62,20.6
1225,60,65,20.4
1226,62,61,20.3
1227,61,59,20.3
1228,63,69,20.4
1229,62,70,20.2
1230,62,66,20.3
1231,61,70,20.2
1232,60,66,20.0
1233,61,70,20.5
1234,62,66,20.7
1235,64,62,21.0
1236,64,55,21.1
1237,62,55,21.1
1238,63,55,21.0
1239,64,51,21.0
1240,62,60,20.8
1241,62,57,20.8
